dataset_id,method_id,label
300001,101257,1
300002,101258,1
300003,101259,1
300004,101260,1
300005,101261,1
300006,101261,1
300007,101262,1
300008,101263,1
300009,101263,1
300010,101263,1
300011,101264,1
300011,101265,1
300011,101266,1
300011,101267,1
300012,101258,1
300012,101268,1
300013,101269,1
300013,101270,1
300014,101271,1
300014,101272,1
300014,101273,1
300015,101274,1
300015,101271,1
300015,101272,1
300015,101275,1
300016,101271,1
300016,101259,1
300016,101274,1
300017,101276,1
300017,101260,1
300017,101277,1
300018,101278,1
300019,101279,1
300019,101280,1
300019,101281,1
300019,101282,1
300019,101283,1
300019,101284,1
300020,101286,1
300020,101280,1
300020,101287,1
300020,101288,1
300020,101289,1
300020,101290,1
300021,101280,1
300021,101279,1
300021,101288,1
300021,101287,1
300021,101286,1
300021,101291,1
300021,101290,1
300021,101289,1
300021,101292,1
300022,101280,1
300022,101279,1
300022,101287,1
300022,101286,1
300022,101288,1
300022,101289,1
300022,101290,1
300022,101292,1
300023,101293,1
300023,101294,1
300023,101295,1
300023,100277,1
300024,101293,1
300024,101294,1
300024,101295,1
300024,100277,1
300025,101293,1
300025,101294,1
300025,100277,1
300025,101295,1
300025,101296,1
300026,101293,1
300026,101295,1
300026,101296,1
300026,101294,1
300026,100277,1
300027,101293,1
300027,101297,1
300027,101295,1
300027,101294,1
300027,100277,1
300027,101296,1
300028,101296,1
300028,101293,1
300028,101297,1
300028,101294,1
300028,101295,1
300028,101298,1
300028,100277,1
300028,101299,1
300029,101300,1
300029,101301,1
300029,101302,1
300029,101303,1
300029,101304,1
300029,101305,1
300030,101306,1
300030,101307,1
300030,101308,1
300030,101309,1
300030,101310,1
300030,101311,1
300030,101312,1
300030,101313,1
300030,101314,1
300030,101315,1
300030,101316,1
300030,101317,1
300030,101318,1
300030,101319,1
300030,101320,1
300030,101321,1
300030,101322,1
300030,101323,1
300030,101324,1
300030,101325,1
300030,101326,1
300030,101327,1
300030,101328,1
300030,101329,1
300030,101330,1
300030,101331,1
300030,101332,1
300030,101333,1
300030,101334,1
300030,101335,1
300030,101336,1
300031,101337,1
300031,101338,1
300031,101339,1
300032,101340,1
300032,101339,1
300032,100276,1
300033,101341,1
300033,101340,1
300033,101342,1
300033,101343,1
300034,101341,1
300034,101340,1
300034,101342,1
300034,101343,1
300034,101344,1
300035,101340,1
300035,101345,1
300035,101339,1
300035,100276,1
300035,101346,1
300035,100277,1
300035,101347,1
300035,101348,1
300036,101340,1
300036,101345,1
300036,101339,1
300036,100276,1
300036,101348,1
300036,101347,1
300036,100277,1
300036,101346,1
300037,101337,1
300037,101338,1
300037,101339,1
300038,101324,1
300038,101349,1
300038,101350,1
300038,101304,1
300038,101351,1
300038,101352,1
300038,101353,1
300038,101354,1
300038,101355,1
300038,101356,1
300038,101357,1
300038,101358,1
300039,101359,1
300039,101360,1
300040,101361,1
300040,101362,1
300040,101363,1
300041,101363,1
300041,101359,1
300041,101361,1
300041,101364,1
300041,101365,1
300041,101366,1
300041,101367,1
300041,101368,1
300041,101369,1
300041,101370,1
300041,101371,1
300041,101372,1
300041,101373,1
300041,101374,1
300041,101375,1
300041,101376,1
300041,100665,1
300041,101377,1
300041,101378,1
300041,101379,1
300041,101380,1
300041,101381,1
300041,101382,1
300041,101383,1
300041,101384,1
300041,101385,1
300041,101386,1
300041,101387,1
300041,101388,1
300041,101389,1
300041,101390,1
300041,101391,1
300041,101392,1
300041,101393,1
300041,101394,1
300041,101395,1
300041,101396,1
300041,101397,1
300041,101398,1
300041,101399,1
300041,101400,1
300041,101401,1
300041,101402,1
300041,101403,1
300041,101404,1
300041,101405,1
300041,101406,1
300041,101407,1
300041,101408,1
300041,101409,1
300041,101410,1
300041,101411,1
300041,101412,1
300041,101413,1
300041,101414,1
300041,101415,1
300041,101416,1
300041,101417,1
300042,101359,1
300042,101418,1
300042,101419,1
300042,101360,1
300043,101420,1
300044,101420,1
300045,101420,1
300046,101421,1
300046,101422,1
300046,101423,1
300046,101424,1
300046,101425,1
300046,101426,1
300046,101427,1
300046,101428,1
300046,101429,1
300046,101430,1
300046,101431,1
300047,101421,1
300047,101431,1
300047,101424,1
300047,101432,1
300047,101423,1
300047,101426,1
300047,101427,1
300047,101428,1
300047,101429,1
300047,101430,1
300047,101433,1
300047,101434,1
300048,101421,1
300048,101431,1
300048,101432,1
300048,101424,1
300048,101426,1
300048,101423,1
300048,101428,1
300048,101427,1
300048,101429,1
300048,101430,1
300049,101421,1
300049,101431,1
300049,101424,1
300049,101429,1
300049,101426,1
300049,101432,1
300049,101430,1
300050,101421,1
300050,101431,1
300050,101424,1
300050,101435,1
300050,101429,1
300050,101426,1
300050,101432,1
300050,101430,1
300050,101428,1
300050,101433,1
300050,101434,1
300051,101421,1
300051,101431,1
300051,101429,1
300051,101424,1
300051,101426,1
300051,101432,1
300051,101430,1
300052,101431,1
300052,101421,1
300052,101423,1
300052,101426,1
300052,101424,1
300052,101436,1
300052,101437,1
300052,101438,1
300052,101432,1
300052,101427,1
300052,101430,1
300052,101429,1
300052,101439,1
300052,101440,1
300052,101441,1
300052,101442,1
300052,101433,1
300052,101434,1
300052,101443,1
300052,101428,1
300053,101421,1
300053,101431,1
300053,101424,1
300053,101423,1
300053,101436,1
300053,101426,1
300053,101438,1
300053,101432,1
300053,101437,1
300053,101427,1
300053,101428,1
300053,101439,1
300053,101440,1
300053,101429,1
300053,101430,1
300053,101441,1
300053,101442,1
300053,101433,1
300053,101444,1
300053,101443,1
300053,101445,1
300054,101431,1
300054,101421,1
300054,101424,1
300054,101423,1
300054,101436,1
300054,101438,1
300054,101426,1
300054,101437,1
300054,101432,1
300054,101439,1
300054,101427,1
300054,101440,1
300054,101430,1
300054,101429,1
300054,101441,1
300054,101442,1
300054,101433,1
300054,101428,1
300055,101446,1
300056,101446,1
300057,101447,1
300057,101448,1
300057,101449,1
300057,101450,1
300058,101446,1
300058,101447,1
300058,101448,1
300058,101449,1
300058,101451,1
300058,101452,1
300058,101453,1
300058,101454,1
300058,101450,1
300058,101455,1
300059,101446,1
300059,101456,1
300059,101447,1
300059,101448,1
300059,101449,1
300059,101452,1
300059,101457,1
300059,101453,1
300059,101458,1
300059,101459,1
300059,101460,1
300059,101461,1
300059,101450,1
300060,101462,1
300061,101463,1
300062,101462,1
300063,101462,1
300063,101464,1
300064,101465,1
300064,101466,1
300064,101467,1
300064,101468,1
300065,101466,1
300065,101465,1
300065,101467,1
300065,101469,1
300066,101464,1
300066,101470,1
300066,101471,1
300066,101466,1
300067,101472,1
300067,101471,1
300067,101466,1
300067,101463,1
300068,101473,1
300068,101474,1
300068,101475,1
300068,101476,1
300068,101477,1
300068,101478,1
300068,101479,1
300069,101465,1
300069,101480,1
300069,101466,1
300069,101481,1
300069,101467,1
300069,101469,1
300070,101482,1
300070,101483,1
300070,101484,1
300070,101472,1
300070,101485,1
